Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"27/11/2015","21 CORNAROYA MANOR, BALLINROBE, MAYO","","Mayo","€120,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"27/11/2015","23 The Elms, Johns Row, Westport","","Mayo","€224,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"27/11/2015","44 ABBEY STREET, BALLINA, CO MAYO","","Mayo","€35,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"27/11/2015","5 Cedar Lane, Newport Road, Westport","","Mayo","€325,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"27/11/2015","54 The Ridgepool, Ballina","","Mayo","€75,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"27/11/2015","7 Olde Mill Stone, Killala Road, Ballina","","Mayo","€132,159.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"27/11/2015","71 THE MAPLES, BALLYHAUNIS, COUNTY MAYO","","Mayo","€45,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"27/11/2015","80 THE SYCAMORES, CLUAIN NA RI, BALLINA","","Mayo","€80,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"27/11/2015","APT 412, HARBOUR MILL, WESTPORT QUAY","","Mayo","€88,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"27/11/2015","BALLINASLEE, PARTRY, CLAREMORRIS","","Mayo","€63,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"27/11/2015","Cul Na Greine, Doohoma, Ballina","","Mayo","€155,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"27/11/2015","GURTEENS, BALLINA, MAYO","","Mayo","€190,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"27/11/2015","KILGARRIFF, CHARLESTOWN, MAYO","","Mayo","€172,120.00","No","No","Second-Hand Dwelling house /Apartment",""
"27/11/2015","KILLADOON, WESTPORT, MAYO","","Mayo","€235,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"27/11/2015","THE GABLES, BALLINTUBBER, CLAREMORRIS","","Mayo","€270,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"30/11/2015","31 Riverwalk, Crossmolina","","Mayo","€65,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"30/11/2015","CAHIR, BALLINROBE, COUNTY MAYO","","Mayo","€30,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"30/11/2015","CORTOON, KILLALA, CO MAYO","","Mayo","€35,000.00","No","No","Second-Hand Dwelling house /Apartment",""
